"SEN","12/01/2019","8","271.7851","19.0003","24.1497","2714.3771","18137.6885","370.9931","597.4036","1699.8228","1451.4599","2781.4799","1976.963"
"SEN","12/01/2019","9","120.346","638.3124","20.9332","2839.2777","18207.5741","372.151","590.4305","2087.132","1453.4125","2824.968","1999.7768"
"SEN","12/01/2019","10","41.5338","1483.8038","23.5662","2967.6456","18047.9397","382.7114","596.0086","2454.5164","1454.0337","2932.5599","1988.6298"
"SEN","12/01/2019","11","101.1215","1689.2583","25.7208","2963.8128","18169.9222","364.5611","593.7321","2809.8636","1453.864","2975.7349","1948.3737"
"SEN","12/01/2019","12","617.5308","1735.5666","25.8532","2885.3362","18080.5247","397.918","592.8355","2709.5121","1453.7838","2923.4421","1940.2847"
"SEN","12/01/2019","13","1247.5182","1694.1006","26.4311","2843.3359","18099.0348","357.7214","593.3","2396.7566","1453.3301","2979.1997","1925.1196"
"SEN","12/01/2019","14","1421.8985","1572.8332","25.6029","2880.8715","18140.5178","355.3248","591.075","2168.741","1452.6309","2915.5158","1897.6035"
"SEN","12/01/2019","15","1481.0374","1492.586","24.8597","2916.362","17996.4704","357.6348","590.2098","1740.0198","1451.9831","2897.219","1928.5247"
"SEN","12/01/2019","16","1678.2327","1533.1755","23.9939","2896.0678","17764.4972","359.906","590.3843","1445.6909","1449.7781","2830.0276","1886.2692"
"SEN","12/01/2019","17","1850.3091","1421.4934","16.6718","2912.8028","17821.1906","358.5773","591.0349","1145.4561","1442.1493","2814.473","1829.448"
"SEN","12/01/2019","18","1785.7165","615.7189","23.9722","2931.9278","18215.5782","378.246","591.8258","1799.9845","1439.1832","2922.2876","1897.4993"
"SEN","12/01/2019","19","1976.3802","17.6842","28.6973","2977.7893","18811.005","425.9817","591.3582","3419.1038","1438.4792","2924.0219","1887.3808"
"SEN","12/01/2019","20","2245.8106","0","26.3524","3007.1296","18790.9713","425.1542","592.683","3485.0706","1438.8298","2715.9927","1796.1219"
"SEN","12/01/2019","21","2209.097","0","28.2591","2634.5212","18624.4196","429.0326","594.1094","3434.7698","1440.1378","2513.2563","1789.7726"
"SEN","12/01/2019","22","2060.9125","0","24.9985","2593.2781","18528.7066","429.8688","594.8407","3184.8064","1441.8445","2418.0596","1794.7916"
"SEN","12/01/2019","23","1991.8945","0","25.0594","2399.5417","18423.7251","387.8563","595.3006","2752.603","1443.9317","2386.1329","1795.5612"
"SEN","12/01/2019","24","1903.576","0","27.1222","2121.9286","17960.3486","353.1399","593.8327","2000.8467","1445.6684","2288.3144","1777.2893"
"SEN","13/01/2019","1","1995.5958","0","21.5899","1980.5228","17549.941","374.5707","595.0122","1142.1641","1445.9137","2227.9152","1521.1973"
"SEN","13/01/2019","2","1985.6279","0","26.164","1770.1622","16854.0721","321.4386","596.3771","993.9142","1446.8143","2213.2278","1374.2875"
"SEN","13/01/2019","3","2000.79","0","26.1487","1675.9044","16257.2602","314.004","595.5187","973.7288","1447.0991","2155.6915","1365.3019"
"SEN","13/01/2019","4","2251.244","0","25.1874","1664.1066","15667.9602","310.1429","595.5764","989.6589","1447.6794","2116.7628","1364.0292"
"SEN","13/01/2019","5","2411.2181","0","25.3882","1663.7865","15227.276","309.1687","595.2986","970.0855","1448.4518","2000.4812","1364.3746"
"SEN","13/01/2019","6","2460.1201","0","22.9195","1665.6275","15106.3681","311.1017","597.1205","970.5198","1449.1106","1992.1946","1363.875"
